id,profesor_id,curso_id,fecha_asignacion
73,PROF355,CUR3061,2023-12-29
74,PROF869,CUR1151,2023-01-01
75,PROF487,CUR4588,2023-02-16
76,PROF561,CUR4396,2021-03-09
77,PROF276,CUR3401,2022-03-05
78,PROF385,CUR8792,2020-11-05
79,PROF189,CUR8581,2021-07-04
80,PROF666,CUR9663,2022-05-20
81,PROF933,CUR2388,2020-04-21
82,PROF561,CUR4152,2021-10-03
83,PROF719,CUR7854,2023-07-04
84,PROF156,CUR5702,2023-03-23
85,PROF917,CUR3705,2022-10-02
86,PROF243,CUR1968,2022-12-31
87,PROF966,CUR1642,2020-09-10
88,PROF915,CUR2902,2023-05-22
89,PROF686,CUR6010,2021-01-31
90,PROF487,CUR3390,2023-03-08
91,PROF158,CUR6856,2021-03-04
92,PROF913,CUR2166,2021-03-15
93,PROF689,CUR7124,2022-03-03
94,PROF172,CUR5790,2020-08-09
95,PROF358,CUR7376,2022-07-10
96,PROF635,CUR7912,2022-04-11
97,PROF116,CUR9663,2021-05-19
98,PROF612,CUR4447,2023-04-28
99,PROF989,CUR6539,2021-12-11
100,PROF232,CUR4553,2022-10-11
101,PROF954,CUR8443,2020-01-15
102,PROF546,CUR7646,2022-06-21
103,PROF173,CUR7783,2023-02-03
104,PROF181,CUR3050,2020-04-01
105,PROF779,CUR6391,2023-08-30
106,PROF288,CUR6807,2022-06-19
107,PROF609,CUR7569,2021-05-14
108,PROF443,CUR3869,2023-08-13
109,PROF854,CUR4613,2020-04-04
110,PROF799,CUR1979,2023-12-10
111,PROF915,CUR4580,2022-06-21
112,PROF295,CUR8166,2021-09-24
113,PROF857,CUR3706,2020-12-06
114,PROF438,CUR2896,2020-06-06
115,PROF932,CUR8992,2021-05-14
116,PROF864,CUR6938,2021-09-05
117,PROF852,CUR2204,2022-08-28
118,PROF710,CUR9029,2022-11-08
119,PROF441,CUR1535,2021-07-22
120,PROF972,CUR1443,2023-02-26
121,PROF337,CUR4580,2022-03-27
122,PROF224,CUR9898,2023-10-05
123,PROF378,CUR3555,2021-05-28
124,PROF427,CUR2783,2020-07-25
125,PROF241,CUR4789,2020-05-19
126,PROF362,CUR5214,2022-03-23
127,PROF297,CUR3339,2021-12-23
128,PROF488,CUR4160,2020-08-11
129,PROF409,CUR2030,2022-02-14
130,PROF813,CUR7374,2021-11-27
131,PROF784,CUR1122,2021-04-16
132,PROF231,CUR8440,2022-12-19
133,PROF250,CUR5936,2020-11-19
134,PROF834,CUR6945,2020-09-23
135,PROF870,CUR4022,2023-08-16
136,PROF967,CUR5550,2022-05-24
137,PROF852,CUR8342,2022-04-19
138,PROF585,CUR1539,2022-04-20
139,PROF133,CUR5705,2022-06-03
140,PROF264,CUR9057,2020-11-18
141,PROF142,CUR3693,2020-02-10
142,PROF113,CUR8137,2021-10-06
143,PROF315,CUR9955,2023-02-12
144,PROF649,CUR5351,2022-12-06
145,PROF483,CUR5339,2022-07-24
146,PROF869,CUR2868,2020-06-29
147,PROF747,CUR9675,2020-05-10
148,PROF494,CUR2311,2021-11-19
149,PROF824,CUR8520,2021-01-21
150,PROF922,CUR8356,2023-03-31
151,PROF603,CUR4805,2020-04-10
152,PROF844,CUR1510,2020-11-01
153,PROF963,CUR5458,2022-08-30
154,PROF284,CUR4517,2020-09-14
155,PROF726,CUR3658,2022-10-10
156,PROF578,CUR3945,2022-02-13
157,PROF239,CUR3946,2021-01-05
158,PROF838,CUR2982,2020-09-10
159,PROF291,CUR8858,2022-12-18
160,PROF321,CUR5843,2022-04-22
161,PROF937,CUR2976,2021-03-31
162,PROF192,CUR4864,2023-05-01
163,PROF951,CUR2613,2021-12-27
164,PROF730,CUR8492,2023-11-21
165,PROF874,CUR5794,2023-08-11
166,PROF857,CUR7098,2023-10-15
167,PROF907,CUR4147,2020-12-23
168,PROF756,CUR9377,2020-06-11
169,PROF850,CUR5570,2021-03-17
170,PROF903,CUR7507,2020-07-13
171,PROF798,CUR7335,2023-08-14
172,PROF697,CUR9595,2020-07-02
173,PROF832,CUR2144,2023-05-25
174,PROF343,CUR2013,2020-07-21
175,PROF751,CUR4287,2021-11-19
176,PROF118,CUR9372,2023-12-12
177,PROF967,CUR5982,2022-03-16
178,PROF733,CUR6282,2020-11-06
179,PROF912,CUR4589,2022-12-17
180,PROF877,CUR3915,2022-11-01
181,PROF324,CUR3315,2023-05-04
182,PROF865,CUR9011,2023-08-19
183,PROF615,CUR6671,2023-10-18
184,PROF965,CUR9185,2021-12-16
185,PROF625,CUR9800,2020-07-19
186,PROF565,CUR3492,2021-08-03
187,PROF520,CUR9101,2022-06-06
188,PROF781,CUR4118,2020-12-28
189,PROF406,CUR5865,2022-12-09
190,PROF371,CUR2062,2020-03-25
191,PROF776,CUR6792,2021-07-15
192,PROF411,CUR1470,2020-09-17
193,PROF332,CUR4567,2022-08-21
194,PROF385,CUR2760,2021-06-08
195,PROF663,CUR7933,2021-05-24
196,PROF628,CUR7475,2022-09-05
197,PROF700,CUR8391,2020-02-11
198,PROF760,CUR9092,2023-07-29
199,PROF894,CUR5845,2022-12-17
200,PROF108,CUR1026,2022-08-18
201,PROF114,CUR4083,2022-02-01
202,PROF412,CUR9007,2020-03-11
203,PROF352,CUR7224,2020-05-10
204,PROF318,CUR7942,2020-05-13
205,PROF453,CUR5037,2020-10-25
206,PROF686,CUR5566,2021-06-08
207,PROF689,CUR8859,2021-09-18
208,PROF437,CUR5987,2022-09-13
209,PROF903,CUR1710,2021-02-21
210,PROF342,CUR2453,2022-06-17
211,PROF367,CUR4579,2020-07-19
212,PROF764,CUR5456,2020-09-03
213,PROF436,CUR3115,2022-09-27
214,PROF724,CUR2762,2021-04-26
215,PROF346,CUR3729,2022-03-26
216,PROF355,CUR9038,2022-12-31
217,PROF862,CUR6782,2020-12-16
218,PROF433,CUR1227,2023-11-09
219,PROF896,CUR9221,2020-10-07
220,PROF794,CUR8372,2022-11-07
221,PROF799,CUR9183,2023-05-09
222,PROF845,CUR2196,2023-12-20
223,PROF980,CUR1754,2021-03-16
224,PROF904,CUR6523,2020-11-05
225,PROF949,CUR5933,2022-08-21
226,PROF624,CUR5882,2020-10-05
227,PROF314,CUR9251,2022-07-08
228,PROF887,CUR6558,2021-10-07
229,PROF395,CUR4614,2023-11-18
230,PROF328,CUR6979,2020-06-14
231,PROF479,CUR5005,2020-07-25
232,PROF463,CUR3639,2023-08-07
233,PROF349,CUR8158,2020-03-25
234,PROF122,CUR5175,2021-07-06
235,PROF396,CUR8686,2021-04-05
236,PROF583,CUR3297,2021-03-31
237,PROF839,CUR2863,2023-07-29
238,PROF921,CUR8700,2020-04-12
239,PROF667,CUR6584,2021-09-22
240,PROF746,CUR8443,2023-11-06
241,PROF124,CUR5707,2022-07-23
242,PROF279,CUR1458,2023-10-26
243,PROF482,CUR8484,2022-08-22
244,PROF715,CUR4588,2020-02-02
245,PROF679,CUR3932,2020-03-23
246,PROF816,CUR9349,2020-09-05
247,PROF885,CUR1068,2022-12-30
248,PROF608,CUR4318,2020-05-10
249,PROF241,CUR5419,2020-01-20
250,PROF137,CUR2447,2023-03-26
251,PROF406,CUR1053,2020-05-07
252,PROF961,CUR7236,2022-07-24
253,PROF808,CUR3468,2020-04-04
254,PROF479,CUR8784,2021-03-01
255,PROF968,CUR7604,2020-02-23
256,PROF519,CUR6121,2021-06-01
257,PROF718,CUR5164,2020-05-03
258,PROF741,CUR5576,2020-02-10
259,PROF216,CUR1801,2021-04-27
260,PROF347,CUR2139,2022-12-21
261,PROF320,CUR3037,2020-10-31
262,PROF303,CUR9731,2023-03-24
263,PROF975,CUR6453,2023-04-21
264,PROF426,CUR4169,2021-01-27
265,PROF592,CUR2748,2023-04-24
266,PROF762,CUR9082,2023-04-29
267,PROF110,CUR4989,2020-02-22
268,PROF816,CUR4628,2020-10-02
269,PROF639,CUR1112,2020-06-08
270,PROF115,CUR1726,2022-07-28
271,PROF326,CUR8205,2021-08-06
272,PROF135,CUR3849,2022-06-06
273,PROF160,CUR5976,2022-06-18
274,PROF149,CUR8846,2021-01-10
275,PROF597,CUR9739,2023-06-27
276,PROF429,CUR1948,2023-03-26
277,PROF782,CUR8421,2021-09-16
278,PROF642,CUR6352,2023-11-26
279,PROF349,CUR1887,2023-07-01
280,PROF712,CUR3923,2022-07-22
281,PROF152,CUR4024,2022-08-09
282,PROF339,CUR9978,2022-12-22
283,PROF862,CUR4572,2020-11-16
284,PROF474,CUR6256,2023-05-17
285,PROF928,CUR4373,2022-08-26
286,PROF328,CUR6270,2023-06-12
287,PROF855,CUR2213,2021-11-07
288,PROF470,CUR7942,2022-03-20
289,PROF394,CUR6816,2022-12-24
290,PROF273,CUR7190,2023-04-18
291,PROF623,CUR5628,2023-10-12
292,PROF902,CUR7108,2021-07-17
293,PROF957,CUR5015,2022-02-16
294,PROF104,CUR9346,2020-04-06
295,PROF971,CUR1200,2021-12-27
296,PROF222,CUR4020,2020-06-10
297,PROF350,CUR3631,2021-09-07
298,PROF186,CUR3608,2023-04-21
299,PROF109,CUR9882,2020-03-06
300,PROF433,CUR8743,2021-12-31
301,PROF769,CUR3695,2023-08-10
302,PROF508,CUR2835,2023-12-25
303,PROF811,CUR8534,2022-06-25
304,PROF126,CUR2798,2021-12-17
305,PROF349,CUR3673,2020-11-13
306,PROF946,CUR8300,2020-11-13
307,PROF230,CUR4783,2020-05-24
308,PROF840,CUR5182,2022-02-05
309,PROF899,CUR7117,2021-01-23
310,PROF348,CUR5884,2020-07-14
311,PROF595,CUR1392,2020-04-18
312,PROF606,CUR7848,2023-07-26
313,PROF606,CUR1991,2021-06-04
314,PROF102,CUR9748,2020-12-22
315,PROF357,CUR6555,2023-06-22
316,PROF942,CUR2946,2020-12-22
317,PROF254,CUR7049,2021-04-07
318,PROF619,CUR9891,2022-08-07
319,PROF302,CUR3889,2021-02-17
320,PROF112,CUR9448,2021-06-07
321,PROF964,CUR9993,2022-05-07
322,PROF352,CUR5649,2021-11-05
323,PROF623,CUR8554,2022-09-05
324,PROF651,CUR6735,2021-06-26
325,PROF692,CUR7869,2020-02-19
326,PROF402,CUR8777,2020-03-10
327,PROF785,CUR3998,2021-09-28
328,PROF673,CUR1335,2022-03-07
329,PROF294,CUR3266,2021-10-17
330,PROF643,CUR7582,2021-09-15
331,PROF616,CUR2060,2020-07-06
332,PROF692,CUR5796,2021-12-16
333,PROF934,CUR4804,2023-10-31
334,PROF570,CUR9175,2020-02-11
335,PROF313,CUR1246,2020-03-05
336,PROF816,CUR1770,2022-07-11
337,PROF731,CUR8182,2023-09-04
338,PROF140,CUR1392,2020-03-03
339,PROF544,CUR1540,2023-06-13
340,PROF695,CUR3641,2023-05-10
341,PROF405,CUR7085,2022-08-16
342,PROF391,CUR4679,2020-05-13
343,PROF816,CUR1496,2020-01-12
344,PROF239,CUR7431,2020-08-13
345,PROF806,CUR8468,2021-05-16
346,PROF119,CUR9698,2021-11-27
347,PROF611,CUR3420,2023-08-23
348,PROF984,CUR6345,2023-03-28
349,PROF756,CUR8968,2022-03-06
350,PROF768,CUR9128,2023-04-08
351,PROF428,CUR6544,2021-05-10
352,PROF420,CUR4730,2021-01-19
353,PROF933,CUR2143,2023-05-27
354,PROF863,CUR6405,2022-11-18
355,PROF327,CUR9992,2020-08-07
356,PROF751,CUR1155,2022-01-11
357,PROF659,CUR6723,2023-09-16
358,PROF961,CUR7319,2020-09-03
359,PROF315,CUR7480,2022-06-04
360,PROF530,CUR9224,2020-07-02
361,PROF780,CUR2692,2021-10-02
362,PROF420,CUR3095,2020-11-14
363,PROF722,CUR6917,2021-10-27
364,PROF141,CUR6082,2020-04-07
365,PROF182,CUR9401,2022-04-07
366,PROF655,CUR7678,2021-01-11
367,PROF682,CUR9219,2021-11-22
368,PROF169,CUR3615,2023-05-30
369,PROF255,CUR8214,2020-03-17
370,PROF651,CUR4817,2023-05-25
371,PROF218,CUR9079,2023-10-17
372,PROF609,CUR2415,2022-01-05
373,PROF952,CUR9765,2021-05-21
374,PROF773,CUR9155,2023-08-01
375,PROF288,CUR3415,2020-04-05
376,PROF664,CUR4743,2020-07-28
377,PROF923,CUR8628,2023-10-14
378,PROF916,CUR1884,2023-01-09
379,PROF681,CUR4437,2022-02-15
380,PROF602,CUR7627,2021-09-03
381,PROF973,CUR4821,2020-12-02
382,PROF138,CUR7760,2022-03-24
383,PROF219,CUR2749,2022-06-20
384,PROF871,CUR9135,2023-03-27
385,PROF829,CUR7117,2023-12-06
386,PROF473,CUR2542,2021-01-28
387,PROF264,CUR5741,2020-12-25
388,PROF862,CUR7991,2022-12-19
389,PROF347,CUR2297,2020-05-12
390,PROF864,CUR4767,2023-05-31
391,PROF731,CUR3929,2020-06-23
392,PROF376,CUR3688,2022-04-12
393,PROF985,CUR8867,2020-06-04
394,PROF395,CUR1623,2020-10-31
395,PROF860,CUR9840,2021-02-05
396,PROF954,CUR3211,2023-05-29
397,PROF725,CUR6136,2021-04-20
398,PROF951,CUR8800,2021-06-24
399,PROF130,CUR3480,2021-04-18
400,PROF666,CUR7570,2020-12-28
401,PROF175,CUR4219,2022-01-12
402,PROF129,CUR3688,2023-02-01
403,PROF999,CUR1070,2022-12-30
404,PROF409,CUR9030,2020-01-19
405,PROF508,CUR5643,2021-05-08
406,PROF361,CUR3408,2021-03-07
407,PROF692,CUR3663,2020-08-23
408,PROF177,CUR3506,2022-06-04
409,PROF962,CUR5231,2023-03-23
410,PROF339,CUR5264,2020-09-21
411,PROF656,CUR8898,2021-01-07
412,PROF428,CUR7548,2020-07-06
413,PROF611,CUR1860,2021-04-22
414,PROF962,CUR7322,2021-06-22
415,PROF402,CUR8051,2020-05-11
416,PROF323,CUR6431,2021-11-04
417,PROF284,CUR5060,2021-02-02
418,PROF167,CUR2281,2022-10-17
419,PROF325,CUR4591,2023-12-22
420,PROF517,CUR5631,2023-07-05
421,PROF212,CUR5047,2020-01-24
422,PROF436,CUR9848,2021-04-29
423,PROF691,CUR3231,2023-10-07
424,PROF603,CUR7869,2020-10-06
425,PROF908,CUR8775,2022-01-09
426,PROF797,CUR4902,2023-08-30
427,PROF251,CUR4093,2023-11-11
428,PROF948,CUR6067,2020-04-26
429,PROF816,CUR5356,2020-03-01
430,PROF951,CUR5608,2020-07-15
431,PROF177,CUR8314,2020-11-30
432,PROF225,CUR6230,2022-05-30
433,PROF120,CUR3696,2023-01-02
434,PROF213,CUR2500,2022-12-27
435,PROF257,CUR2319,2020-06-07
436,PROF177,CUR4974,2022-03-07
437,PROF957,CUR2144,2020-03-12
438,PROF970,CUR2285,2021-08-06
439,PROF766,CUR3733,2021-07-04
440,PROF553,CUR4347,2023-12-19
441,PROF564,CUR6410,2022-07-24
442,PROF317,CUR2453,2023-06-27
443,PROF282,CUR4014,2023-04-14
444,PROF438,CUR6490,2020-12-06
445,PROF901,CUR5299,2022-11-28
446,PROF921,CUR2845,2021-11-22
447,PROF510,CUR2630,2023-12-25
448,PROF195,CUR3156,2023-11-13
449,PROF786,CUR3414,2022-03-24
450,PROF159,CUR5162,2020-06-01
451,PROF597,CUR8706,2020-01-15
452,PROF199,CUR9656,2022-02-18
453,PROF447,CUR2334,2021-10-01
454,PROF212,CUR9954,2020-12-04
455,PROF968,CUR7325,2023-01-18
456,PROF105,CUR9376,2020-03-20
457,PROF628,CUR8033,2020-12-30
458,PROF124,CUR5162,2021-06-17
459,PROF191,CUR8976,2022-04-04
460,PROF180,CUR6123,2023-11-26
461,PROF629,CUR4432,2023-03-07
462,PROF785,CUR1156,2020-12-13
463,PROF646,CUR9591,2021-01-16
464,PROF897,CUR6146,2023-10-02
465,PROF759,CUR1015,2020-11-06
466,PROF352,CUR8256,2020-05-31
467,PROF664,CUR5429,2021-07-10
468,PROF647,CUR9826,2021-05-02
469,PROF466,CUR7191,2023-09-07
470,PROF865,CUR6176,2021-12-10
471,PROF939,CUR1300,2023-02-07
472,PROF521,CUR9707,2020-03-29
473,PROF827,CUR7917,2023-07-18
474,PROF508,CUR8785,2023-04-09
475,PROF435,CUR9591,2022-01-24
476,PROF843,CUR1521,2022-03-08
477,PROF915,CUR7202,2023-01-15
478,PROF959,CUR6967,2021-12-19
479,PROF638,CUR8508,2021-05-09
480,PROF168,CUR3645,2020-05-08
481,PROF398,CUR6890,2022-05-14
482,PROF833,CUR8450,2020-05-15
483,PROF897,CUR1566,2023-09-17
484,PROF494,CUR6481,2021-02-23
485,PROF251,CUR5452,2021-12-01
486,PROF133,CUR2144,2022-03-24
487,PROF887,CUR2391,2022-08-23
488,PROF460,CUR4927,2020-05-17
489,PROF517,CUR3694,2023-02-28
490,PROF560,CUR9540,2021-03-09
491,PROF895,CUR5873,2023-03-25
492,PROF229,CUR6526,2020-01-23
493,PROF671,CUR2428,2020-03-15
494,PROF206,CUR6082,2021-07-27
495,PROF456,CUR1910,2023-03-19
496,PROF925,CUR9136,2020-09-12
497,PROF552,CUR8922,2023-06-25
498,PROF168,CUR1199,2021-04-17
499,PROF491,CUR4494,2022-11-11
500,PROF567,CUR4072,2020-12-28
501,PROF148,CUR5791,2021-07-31
502,PROF300,CUR6835,2021-03-19
503,PROF493,CUR2281,2023-03-10
504,PROF936,CUR9176,2022-08-28
505,PROF492,CUR9288,2020-04-26
506,PROF951,CUR7786,2022-07-12
507,PROF476,CUR2684,2021-07-09
508,PROF331,CUR1965,2021-03-23
509,PROF498,CUR7355,2023-12-01
510,PROF301,CUR3221,2023-05-13
511,PROF448,CUR4831,2023-05-15
512,PROF832,CUR7302,2022-09-12
513,PROF600,CUR3200,2023-09-06
514,PROF473,CUR2049,2020-01-09
515,PROF366,CUR1303,2023-06-07
516,PROF156,CUR5901,2023-07-26
517,PROF186,CUR8898,2022-01-15
518,PROF823,CUR9225,2023-01-12
519,PROF263,CUR9669,2021-01-01
520,PROF296,CUR1963,2022-12-07
521,PROF749,CUR8314,2021-07-16
522,PROF662,CUR8121,2023-02-04
523,PROF325,CUR9641,2021-12-10
524,PROF306,CUR9662,2022-04-13
525,PROF661,CUR6878,2020-07-04
526,PROF426,CUR8674,2023-10-11
527,PROF879,CUR6250,2020-01-18
528,PROF985,CUR6531,2020-05-20
529,PROF419,CUR9319,2021-10-01
530,PROF457,CUR3739,2022-04-27
531,PROF477,CUR9259,2020-07-31
532,PROF213,CUR7319,2020-03-02
533,PROF263,CUR2555,2021-05-27
534,PROF164,CUR6656,2023-09-15
535,PROF263,CUR2423,2021-07-04
536,PROF522,CUR1437,2020-09-30
537,PROF153,CUR8680,2020-06-21
538,PROF600,CUR5545,2020-05-08
539,PROF328,CUR3101,2023-01-29
540,PROF557,CUR8894,2021-11-02
541,PROF247,CUR1798,2021-01-10
542,PROF224,CUR2653,2023-11-04
543,PROF964,CUR1636,2022-09-25
544,PROF550,CUR8418,2023-12-27
545,PROF662,CUR7648,2021-01-08
546,PROF346,CUR8858,2021-10-08
547,PROF534,CUR2536,2023-01-20
548,PROF124,CUR5505,2021-10-14
549,PROF911,CUR6921,2021-03-28
550,PROF227,CUR8347,2020-06-12
551,PROF356,CUR4847,2020-06-03
552,PROF412,CUR2394,2020-09-28
553,PROF158,CUR4588,2020-06-05
554,PROF121,CUR2851,2023-08-23
555,PROF863,CUR4089,2022-03-06
556,PROF143,CUR7088,2023-12-11
557,PROF386,CUR7690,2022-09-07
558,PROF379,CUR8052,2020-01-15
559,PROF864,CUR8525,2022-04-09
560,PROF531,CUR9311,2022-05-25
561,PROF629,CUR1698,2022-11-04
562,PROF664,CUR1244,2020-03-23
563,PROF548,CUR8670,2022-09-01
564,PROF847,CUR9342,2022-09-26
565,PROF583,CUR8143,2022-06-27
566,PROF185,CUR7946,2022-12-14
567,PROF252,CUR7591,2020-10-18
568,PROF211,CUR6817,2020-09-15
569,PROF719,CUR6679,2020-11-03
570,PROF398,CUR5975,2022-09-20
571,PROF567,CUR2486,2020-09-25
572,PROF845,CUR3984,2020-02-18
573,PROF197,CUR7171,2022-03-22
574,PROF469,CUR1959,2022-09-16
575,PROF528,CUR1611,2020-06-07
576,PROF452,CUR3874,2020-09-19
577,PROF617,CUR6819,2020-11-17
578,PROF840,CUR1933,2021-06-17
579,PROF399,CUR5210,2022-10-19
580,PROF400,CUR8914,2022-11-24
581,PROF981,CUR8575,2022-12-22
582,PROF511,CUR5597,2022-05-15
583,PROF123,CUR1062,2022-09-11
584,PROF848,CUR5115,2022-12-09
585,PROF644,CUR4784,2022-11-17
586,PROF697,CUR5712,2020-07-31
587,PROF118,CUR3083,2023-10-21
588,PROF208,CUR5329,2023-01-23
589,PROF717,CUR6802,2020-10-26
590,PROF411,CUR8389,2022-09-29
591,PROF809,CUR9530,2021-05-29
592,PROF256,CUR3679,2020-12-02
593,PROF936,CUR7189,2022-07-01
594,PROF296,CUR1858,2022-10-31
595,PROF859,CUR1597,2023-09-26
596,PROF648,CUR4573,2023-04-16
597,PROF572,CUR6469,2023-03-08
598,PROF210,CUR1512,2020-05-05
599,PROF744,CUR9391,2020-10-27
600,PROF744,CUR4994,2021-10-14
601,PROF761,CUR1119,2020-08-22
602,PROF179,CUR6361,2021-08-02
603,PROF804,CUR4878,2022-12-08
604,PROF127,CUR9570,2020-12-16
605,PROF538,CUR4407,2023-06-03
606,PROF672,CUR3118,2021-06-27
607,PROF987,CUR4837,2022-04-18
608,PROF319,CUR9158,2020-07-12
609,PROF449,CUR2741,2021-05-17
610,PROF188,CUR1746,2022-01-11
611,PROF626,CUR1540,2020-05-16
612,PROF869,CUR4875,2021-03-09
613,PROF640,CUR8373,2020-04-10
614,PROF619,CUR9178,2022-07-21
615,PROF384,CUR9056,2021-07-07
616,PROF403,CUR6388,2020-04-05
617,PROF700,CUR3718,2021-07-09
618,PROF836,CUR4380,2023-05-07
619,PROF188,CUR9883,2023-09-05
620,PROF625,CUR9287,2022-07-11
621,PROF308,CUR6249,2023-04-08
622,PROF947,CUR9159,2023-08-30
623,PROF622,CUR5672,2020-01-23
624,PROF245,CUR8690,2023-09-26
625,PROF454,CUR4260,2020-07-06
626,PROF405,CUR6425,2021-07-19
627,PROF777,CUR1991,2023-09-15
628,PROF137,CUR6357,2020-02-28
629,PROF660,CUR9738,2022-09-29
630,PROF654,CUR7475,2021-12-17
631,PROF365,CUR7329,2020-10-31
632,PROF503,CUR8120,2023-02-02
633,PROF760,CUR1920,2022-06-11
634,PROF475,CUR5785,2020-10-15
635,PROF905,CUR9753,2020-03-19
636,PROF110,CUR6328,2022-02-09
637,PROF455,CUR4240,2023-04-14
638,PROF488,CUR8576,2022-05-30
639,PROF812,CUR9740,2023-09-19
640,PROF555,CUR6239,2021-05-04
641,PROF418,CUR9152,2023-10-16
642,PROF964,CUR8788,2020-02-16
643,PROF228,CUR6715,2022-10-17
644,PROF565,CUR9114,2021-12-12
645,PROF679,CUR8983,2021-02-09
646,PROF711,CUR3412,2020-08-12
647,PROF908,CUR5274,2022-04-13
648,PROF945,CUR6874,2021-04-12
649,PROF757,CUR9984,2023-11-16
650,PROF989,CUR7237,2020-01-16
651,PROF961,CUR5568,2020-03-15
652,PROF724,CUR8137,2023-11-21
653,PROF172,CUR1277,2022-03-20
654,PROF977,CUR7866,2022-04-25
655,PROF940,CUR8145,2022-04-07
656,PROF119,CUR5357,2022-04-21
657,PROF536,CUR4860,2020-12-14
658,PROF662,CUR2268,2021-07-30
659,PROF170,CUR5629,2020-06-25
660,PROF586,CUR5344,2020-10-09
661,PROF734,CUR4108,2022-07-03
662,PROF443,CUR6267,2021-05-01
663,PROF618,CUR8202,2023-10-28
664,PROF999,CUR8899,2020-01-31
665,PROF238,CUR1430,2023-09-03
666,PROF716,CUR9996,2022-11-09
667,PROF845,CUR1624,2020-09-19
668,PROF622,CUR6954,2020-10-28
669,PROF369,CUR9253,2023-03-10
670,PROF181,CUR4636,2021-01-05
671,PROF208,CUR4881,2021-06-13
672,PROF881,CUR6464,2021-11-06
673,PROF501,CUR8953,2023-05-22
674,PROF420,CUR7260,2021-11-22
675,PROF455,CUR4305,2021-02-11
676,PROF427,CUR3906,2022-03-27
677,PROF212,CUR9775,2023-08-15
678,PROF937,CUR2593,2020-04-01
679,PROF961,CUR9902,2023-07-31
680,PROF328,CUR4800,2023-12-24
681,PROF534,CUR5734,2020-09-03
682,PROF527,CUR4491,2020-09-14
683,PROF313,CUR9757,2023-09-23
684,PROF815,CUR5234,2022-06-13
685,PROF656,CUR4491,2020-06-22
686,PROF493,CUR9404,2020-04-08
687,PROF803,CUR8758,2020-09-17
688,PROF542,CUR6838,2023-05-12
689,PROF909,CUR6942,2023-01-29
690,PROF376,CUR2950,2020-08-09
691,PROF325,CUR8342,2020-05-01
692,PROF624,CUR7067,2021-04-27
693,PROF828,CUR1545,2021-05-11
694,PROF331,CUR4193,2021-06-26
695,PROF220,CUR5358,2023-06-18
696,PROF810,CUR7069,2022-07-18
697,PROF856,CUR5320,2022-09-02
