codigo,nombre,horario,ciclo,created_at
CUR00036,Matemticas,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00037,Informtica,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00038,Qumica,Lun 18:00-20:00,2024-1,2025-05-12 02:32:54
CUR00039,Historia,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:54
CUR00040,Filosofa,Sab 08:00-11:00,2023-1,2025-05-12 02:32:54
CUR00041,Qumica,Lun 18:00-20:00,2023-2,2025-05-12 02:32:54
CUR00042,Matemticas,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00043,Literatura,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00044,Historia,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00045,Literatura,Sab 08:00-11:00,2023-1,2025-05-12 02:32:54
CUR00046,Literatura,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00047,Fsica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00048,Fsica,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00049,Literatura,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00050,Informtica,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00051,Filosofa,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00052,Qumica,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00053,Fsica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00054,Fsica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00055,Biologa,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00056,Biologa,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:54
CUR00057,Historia,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00058,Matemticas,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00059,Informtica,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00060,Qumica,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00061,Qumica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00062,Biologa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00063,Matemticas,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:54
CUR00064,Qumica,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00065,Matemticas,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00066,Historia,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00067,Fsica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00068,Fsica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00069,Informtica,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00070,Biologa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00071,Fsica,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00072,Matemticas,Lun 18:00-20:00,2023-2,2025-05-12 02:32:54
CUR00073,Literatura,Lun-Mie 08:00-10:00,2023-1,2025-05-12 02:32:54
CUR00074,Filosofa,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00075,Fsica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00076,Matemticas,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:54
CUR00077,Filosofa,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00078,Filosofa,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00079,Historia,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00080,Matemticas,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00081,Fsica,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00082,Fsica,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00083,Informtica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00084,Qumica,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:54
CUR00085,Literatura,Sab 08:00-11:00,2022-2,2025-05-12 02:32:54
CUR00086,Matemticas,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00087,Qumica,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:54
CUR00088,Informtica,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:54
CUR00089,Fsica,Lun 18:00-20:00,2023-1,2025-05-12 02:32:54
CUR00090,Qumica,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00091,Filosofa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00092,Filosofa,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00093,Literatura,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00094,Qumica,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00095,Biologa,Vie 14:00-16:00,2022-2,2025-05-12 02:32:54
CUR00096,Biologa,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00097,Literatura,Sab 08:00-11:00,2023-1,2025-05-12 02:32:54
CUR00098,Qumica,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:54
CUR00099,Matemticas,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00100,Fsica,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00101,Biologa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00102,Informtica,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00103,Biologa,Sab 08:00-11:00,2022-1,2025-05-12 02:32:54
CUR00104,Informtica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00105,Filosofa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00106,Informtica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00107,Biologa,Sab 08:00-11:00,2023-1,2025-05-12 02:32:54
CUR00108,Biologa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00109,Matemticas,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00110,Matemticas,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00111,Filosofa,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00112,Matemticas,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00113,Filosofa,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00114,Filosofa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00115,Informtica,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00116,Literatura,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00117,Literatura,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:54
CUR00118,Historia,Vie 14:00-16:00,2022-2,2025-05-12 02:32:54
CUR00119,Informtica,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00120,Qumica,Sab 08:00-11:00,2023-1,2025-05-12 02:32:54
CUR00121,Historia,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00122,Biologa,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00123,Historia,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00124,Literatura,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00125,Literatura,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00126,Fsica,Lun 18:00-20:00,2024-2,2025-05-12 02:32:54
CUR00127,Qumica,Vie 14:00-16:00,2022-2,2025-05-12 02:32:54
CUR00128,Historia,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00129,Fsica,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00130,Biologa,Lun 18:00-20:00,2024-2,2025-05-12 02:32:54
CUR00131,Filosofa,Lun 18:00-20:00,2023-1,2025-05-12 02:32:54
CUR00132,Historia,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00133,Qumica,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00134,Biologa,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00135,Filosofa,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00136,Literatura,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00137,Literatura,Vie 14:00-16:00,2022-2,2025-05-12 02:32:54
CUR00138,Biologa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00139,Matemticas,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:54
CUR00140,Historia,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00141,Biologa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00142,Historia,Lun-Mie 08:00-10:00,2023-1,2025-05-12 02:32:54
CUR00143,Filosofa,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00144,Historia,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00145,Biologa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00146,Qumica,Mar-Jue 10:00-12:00,2023-1,2025-05-12 02:32:54
CUR00147,Informtica,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00148,Matemticas,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00149,Informtica,Mar-Jue 10:00-12:00,2023-1,2025-05-12 02:32:54
CUR00150,Literatura,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:54
CUR00151,Matemticas,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00152,Informtica,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:54
CUR00153,Filosofa,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00154,Fsica,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:54
CUR00155,Filosofa,Mar-Jue 10:00-12:00,2023-1,2025-05-12 02:32:54
CUR00156,Qumica,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:54
CUR00157,Matemticas,Vie 14:00-16:00,2023-2,2025-05-12 02:32:54
CUR00158,Qumica,Lun 18:00-20:00,2022-1,2025-05-12 02:32:54
CUR00159,Historia,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00160,Filosofa,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:54
CUR00161,Biologa,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:54
CUR00162,Filosofa,Lun 18:00-20:00,2022-2,2025-05-12 02:32:54
CUR00163,Qumica,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:54
CUR00164,Historia,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00165,Informtica,Sab 08:00-11:00,2022-1,2025-05-12 02:32:54
CUR00166,Filosofa,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:54
CUR00167,Informtica,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00168,Matemticas,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:54
CUR00169,Informtica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00170,Qumica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00171,Qumica,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:54
CUR00172,Fsica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00173,Fsica,Vie 14:00-16:00,2024-2,2025-05-12 02:32:54
CUR00174,Literatura,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00175,Informtica,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00176,Literatura,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00177,Fsica,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:54
CUR00178,Matemticas,Sab 08:00-11:00,2022-1,2025-05-12 02:32:54
CUR00179,Literatura,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:54
CUR00180,Biologa,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:54
CUR00181,Informtica,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00182,Qumica,Sab 08:00-11:00,2022-1,2025-05-12 02:32:54
CUR00183,Literatura,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00184,Informtica,Sab 08:00-11:00,2024-1,2025-05-12 02:32:54
CUR00185,Qumica,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:54
CUR00186,Filosofa,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:54
CUR00187,Fsica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00188,Informtica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00189,Qumica,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00190,Qumica,Lun-Mie 08:00-10:00,2023-1,2025-05-12 02:32:54
CUR00191,Biologa,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:54
CUR00192,Historia,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:54
CUR00193,Matemticas,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00194,Literatura,Lun 18:00-20:00,2023-2,2025-05-12 02:32:54
CUR00195,Historia,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00196,Literatura,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:54
CUR00197,Historia,Vie 14:00-16:00,2024-1,2025-05-12 02:32:54
CUR00198,Literatura,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:54
CUR00199,Informtica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00200,Fsica,Vie 14:00-16:00,2022-1,2025-05-12 02:32:54
CUR00201,Literatura,Sab 08:00-11:00,2023-2,2025-05-12 02:32:54
CUR00202,Biologa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00203,Historia,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00204,Literatura,Vie 14:00-16:00,2022-2,2025-05-12 02:32:54
CUR00205,Fsica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:54
CUR00206,Biologa,Sab 08:00-11:00,2024-2,2025-05-12 02:32:54
CUR00207,Informtica,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:54
CUR00208,Filosofa,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:54
CUR00209,Biologa,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:54
CUR00210,Filosofa,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:54
CUR00211,Informtica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:54
CUR00212,Historia,Vie 14:00-16:00,2024-2,2025-05-12 02:32:54
CUR00213,Matemticas,Sab 08:00-11:00,2024-2,2025-05-12 02:32:55
CUR00214,Historia,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00215,Biologa,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:55
CUR00216,Historia,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:55
CUR00217,Informtica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00218,Filosofa,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00219,Historia,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00220,Qumica,Vie 14:00-16:00,2023-2,2025-05-12 02:32:55
CUR00221,Historia,Sab 08:00-11:00,2024-1,2025-05-12 02:32:55
CUR00222,Historia,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:55
CUR00223,Literatura,Lun 18:00-20:00,2023-1,2025-05-12 02:32:55
CUR00224,Literatura,Sab 08:00-11:00,2023-2,2025-05-12 02:32:55
CUR00225,Biologa,Mar-Jue 16:00-18:00,2024-1,2025-05-12 02:32:55
CUR00226,Informtica,Sab 08:00-11:00,2022-2,2025-05-12 02:32:55
CUR00227,Qumica,Lun 18:00-20:00,2023-2,2025-05-12 02:32:55
CUR00228,Historia,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:55
CUR00229,Biologa,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:55
CUR00230,Fsica,Sab 08:00-11:00,2024-2,2025-05-12 02:32:55
CUR00231,Literatura,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00232,Fsica,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:55
CUR00233,Fsica,Lun 18:00-20:00,2023-1,2025-05-12 02:32:55
CUR00234,Historia,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:55
CUR00235,Qumica,Vie 14:00-16:00,2024-2,2025-05-12 02:32:55
CUR00236,Matemticas,Lun 18:00-20:00,2022-2,2025-05-12 02:32:55
CUR00237,Literatura,Sab 08:00-11:00,2023-2,2025-05-12 02:32:55
CUR00238,Informtica,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:55
CUR00239,Historia,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00240,Informtica,Sab 08:00-11:00,2024-2,2025-05-12 02:32:55
CUR00241,Fsica,Mar-Jue 10:00-12:00,2022-2,2025-05-12 02:32:55
CUR00242,Historia,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:55
CUR00243,Biologa,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00244,Qumica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00245,Filosofa,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:55
CUR00246,Matemticas,Lun 18:00-20:00,2023-2,2025-05-12 02:32:55
CUR00247,Fsica,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00248,Filosofa,Sab 08:00-11:00,2024-2,2025-05-12 02:32:55
CUR00249,Matemticas,Lun 18:00-20:00,2023-1,2025-05-12 02:32:55
CUR00250,Literatura,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00251,Biologa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00252,Qumica,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00253,Informtica,Vie 14:00-16:00,2024-2,2025-05-12 02:32:55
CUR00254,Filosofa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:55
CUR00255,Historia,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:55
CUR00256,Matemticas,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:55
CUR00257,Historia,Vie 14:00-16:00,2023-1,2025-05-12 02:32:55
CUR00258,Historia,Sab 08:00-11:00,2023-1,2025-05-12 02:32:55
CUR00259,Qumica,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:55
CUR00260,Informtica,Lun 18:00-20:00,2023-1,2025-05-12 02:32:55
CUR00261,Literatura,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:55
CUR00262,Qumica,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:55
CUR00263,Literatura,Vie 14:00-16:00,2024-1,2025-05-12 02:32:55
CUR00264,Informtica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:55
CUR00265,Literatura,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:55
CUR00266,Biologa,Vie 14:00-16:00,2023-2,2025-05-12 02:32:55
CUR00267,Biologa,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00268,Qumica,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00269,Literatura,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00270,Fsica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00271,Matemticas,Lun 18:00-20:00,2023-1,2025-05-12 02:32:55
CUR00272,Historia,Lun 18:00-20:00,2024-1,2025-05-12 02:32:55
CUR00273,Literatura,Lun-Mie 08:00-10:00,2024-1,2025-05-12 02:32:55
CUR00274,Matemticas,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:55
CUR00275,Informtica,Mar-Jue 16:00-18:00,2022-2,2025-05-12 02:32:55
CUR00276,Qumica,Mar-Jue 16:00-18:00,2023-2,2025-05-12 02:32:55
CUR00277,Matemticas,Lun 18:00-20:00,2022-1,2025-05-12 02:32:55
CUR00278,Qumica,Mar-Jue 10:00-12:00,2024-1,2025-05-12 02:32:55
CUR00279,Filosofa,Vie 14:00-16:00,2024-1,2025-05-12 02:32:55
CUR00280,Literatura,Sab 08:00-11:00,2023-1,2025-05-12 02:32:55
CUR00281,Biologa,Sab 08:00-11:00,2022-2,2025-05-12 02:32:55
CUR00282,Literatura,Vie 14:00-16:00,2023-1,2025-05-12 02:32:55
CUR00283,Literatura,Sab 08:00-11:00,2023-1,2025-05-12 02:32:55
CUR00284,Matemticas,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:55
CUR00285,Matemticas,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00286,Historia,Vie 14:00-16:00,2023-2,2025-05-12 02:32:55
CUR00287,Literatura,Mar-Jue 10:00-12:00,2023-1,2025-05-12 02:32:55
CUR00288,Matemticas,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:55
CUR00289,Historia,Lun 18:00-20:00,2024-1,2025-05-12 02:32:55
CUR00290,Literatura,Mar-Jue 10:00-12:00,2022-1,2025-05-12 02:32:55
CUR00291,Fsica,Vie 14:00-16:00,2023-1,2025-05-12 02:32:55
CUR00292,Matemticas,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00293,Filosofa,Vie 14:00-16:00,2022-1,2025-05-12 02:32:55
CUR00294,Literatura,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00295,Historia,Lun-Mie 08:00-10:00,2023-2,2025-05-12 02:32:55
CUR00296,Filosofa,Lun 18:00-20:00,2024-1,2025-05-12 02:32:55
CUR00297,Qumica,Lun-Mie 08:00-10:00,2023-1,2025-05-12 02:32:55
CUR00298,Matemticas,Mar-Jue 16:00-18:00,2023-1,2025-05-12 02:32:55
CUR00299,Literatura,Sab 08:00-11:00,2023-1,2025-05-12 02:32:55
CUR00300,Matemticas,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00301,Qumica,Mar-Jue 16:00-18:00,2022-1,2025-05-12 02:32:55
CUR00302,Informtica,Sab 08:00-11:00,2023-1,2025-05-12 02:32:55
CUR00303,Informtica,Lun 18:00-20:00,2022-2,2025-05-12 02:32:55
CUR00304,Literatura,Vie 14:00-16:00,2022-2,2025-05-12 02:32:55
CUR00305,Biologa,Sab 08:00-11:00,2024-1,2025-05-12 02:32:55
CUR00306,Biologa,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:55
CUR00307,Fsica,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:55
CUR00308,Informtica,Lun 18:00-20:00,2024-2,2025-05-12 02:32:55
CUR00309,Filosofa,Lun 18:00-20:00,2024-2,2025-05-12 02:32:55
CUR00310,Biologa,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:55
CUR00311,Historia,Sab 08:00-11:00,2022-1,2025-05-12 02:32:55
CUR00312,Historia,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:55
CUR00313,Qumica,Lun 18:00-20:00,2022-1,2025-05-12 02:32:55
CUR00314,Informtica,Mar-Jue 10:00-12:00,2023-2,2025-05-12 02:32:55
CUR00315,Fsica,Lun-Mie 08:00-10:00,2024-2,2025-05-12 02:32:55
CUR00316,Literatura,Mar-Jue 16:00-18:00,2024-2,2025-05-12 02:32:55
CUR00317,Historia,Sab 08:00-11:00,2024-2,2025-05-12 02:32:55
CUR00318,Biologa,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:55
CUR00319,Historia,Mar-Jue 10:00-12:00,2024-2,2025-05-12 02:32:55
CUR00320,Biologa,Lun-Mie 08:00-10:00,2022-1,2025-05-12 02:32:55
CUR00321,Historia,Lun-Mie 08:00-10:00,2022-2,2025-05-12 02:32:55
CUR00322,Historia,Lun 18:00-20:00,2024-1,2025-05-12 02:32:55
CUR00323,Informtica,Lun 18:00-20:00,2022-1,2025-05-12 02:32:55
